ds,y
2020-03-22,1
2020-03-23,1
2020-03-26,1
2020-03-27,1
2020-03-04,1
2020-04-04,1
2020-05-04,3
2020-06-04,1
2020-09-04,1
2020-11-04,1
2020-04-13,2
2020-04-14,6
2020-04-15,1
2020-04-17,4
2020-04-18,3
2020-04-19,2
2020-04-20,9
2020-04-21,4
2020-04-22,4
2020-04-23,8
2020-04-24,3
2020-04-25,2
2020-04-26,1
2020-04-27,3
2020-04-28,5
2020-04-29,2
2020-04-30,4
2020-01-05,4
2020-02-05,16
2020-03-05,5
2020-04-05,20
2020-05-05,13
2020-06-05,15
2020-07-05,17
2020-08-05,22
2020-09-05,12
2020-10-05,7
2020-11-05,58
2020-12-05,33
2020-05-13,54
2020-05-14,62
2020-05-15,61
2020-05-16,19
2020-05-17,29
2020-05-18,98
2020-05-19,97
2020-05-20,91
2020-05-21,111
2020-05-22,109
2020-05-23,63
2020-05-24,8
2020-05-25,161
2020-05-26,122
2020-05-27,166
2020-05-28,147
2020-05-29,152
2020-05-30,68
2020-05-31,24
2020-01-06,130
2020-02-06,147
2020-03-06,174
2020-04-06,166
2020-05-06,183
2020-06-06,128
2020-07-06,66
2020-08-06,249
2020-09-06,197
2020-10-06,190
2020-11-06,153
2020-12-06,106
2020-06-13,57
2020-06-14,66
2020-06-15,205
2020-06-16,127
2020-06-17,147
2020-06-18,162
2020-06-19,124
2020-06-20,87
2020-06-21,62
2020-06-22,190
2020-06-23,149
2020-06-24,160
2020-06-25,117
2020-06-26,113
2020-06-27,76
2020-06-28,48
2020-06-29,192
2020-06-30,166
2020-01-07,125
2020-02-07,153
2020-03-07,139
2020-04-07,84
2020-05-07,60
2020-06-07,174
2020-07-07,188
2020-08-07,106
2020-09-07,188
2020-10-07,126
2020-11-07,57
2020-12-07,43
2020-07-13,188
2020-07-14,166
2020-07-15,151
2020-07-16,139
2020-07-17,81
2020-07-18,64
2020-07-19,47
2020-07-20,176
2020-07-21,142
2020-07-22,115
2020-07-23,125
2020-07-24,91
2020-07-25,57
2020-07-26,37
2020-07-27,136
2020-07-28,114
2020-07-29,79
2020-07-30,131
2020-07-31,93
2020-01-08,50
2020-02-08,26
2020-03-08,112
2020-04-08,100
2020-05-08,89
2020-06-08,81
2020-07-08,91
2020-08-08,40
2020-09-08,27
2020-10-08,86
2020-11-08,81
2020-12-08,68
2020-08-13,76
2020-08-14,73
2020-08-15,27
2020-08-16,23
2020-08-17,63
2020-08-18,73
2020-08-19,74
